"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"BMY";"Bristol-Myers Squibb";"Health Care";66.99;0.119554915;7066893;2.01;1.68
"BR";"Broadridge Financial Solutions";"Information Technology";119.81;1.3278077;549197;3.581;2.05
"BRK-B";"Berkshire Hathaway";"Financials";227.33;0.09686989;2616631;16408.39;NA
"BSX";"Boston Scientific";"Health Care";42.57;0.82898736;4777184;3.33;NA
"BWA";"BorgWarner";"Consumer Discretionary";34.11;2.493996;2704038;3.642;0.68
"BXP";"Boston Properties";"Real Estate";144.22;0.74042857;507725;3.3;3.83
"C";"Citigroup Inc.";"Financials";79.09;0.7772591;8967133;8.036;1.92
"CAG";"Conagra Brands";"Consumer Staples";32.8;1.7369651;3091483;1.66;0.85
"CAH";"Cardinal Health Inc.";"Health Care";59.41;0.3716865;2593603;-14.23;1.92
"CAT";"Caterpillar Inc.";"Industrials";136.19;1.392194;2362830;10.74;3.95
"CB";"Chubb Limited";"Financials";164.14;0.48362;1442656;9.71;2.98
"CBOE";"Cboe Global Markets";"Financials";123.45;-0.1940379;422133;4.555;1.08
"CBRE";"CBRE Group";"Real Estate";63.08;-1.8210089;1653264;3.043;NA
"CCI";"Crown Castle International Corp.";"Real Estate";161.03;5.303427;3448079;1.979;4.5
"CCL";"Carnival Corp.";"Consumer Discretionary";42.95;2.8003876;5699407;4.32;2
"CDNS";"Cadence Design Systems";"Information Technology";75.71;1.4471418;1419563;1.52;NA
"CDW";"CDW";"Information Technology";135.97;1.477719;1020939;4.99;1.265
"CE";"Celanese";"Materials";108.62;0.9761115;600275;6.842;2.4
"CERN";"Cerner";"Health Care";80.23;0.7661399;3098988;1.65;0.54
"CF";"CF Industries Holdings Inc";"Materials";42.17;1.1999041;1912771;2.166;1.2
"CFG";"Citizens Financial Group";"Financials";39;1.3250151;2691879;3.81;1.36
"CHD";"Church & Dwight";"Consumer Staples";74.78;-1.0191982;959829;2.44;0.91
"CHRW";"C. H. Robinson Worldwide";"Industrials";72.72;-0.274269;725226;4.19;2.01
"CHTR";"Charter Communications";"Communication Services";530.94;0.11313036;973985;7.45;NA
"CI";"CIGNA Corp.";"Health Care";215.18;2.3107576;1753716;13.438;0.04
"CINF";"Cincinnati Financial";"Financials";114.92;0.73632216;722418;12.1;2.24
"CL";"Colgate-Palmolive";"Consumer Staples";76.11;-1.6031001;3849290;2.75;1.71
"CLX";"The Clorox Company";"Consumer Staples";164.76;-1.7296964;862430;6.353;4.14
"CMA";"Comerica Inc.";"Financials";62.23;1.4674673;1361981;7.87;2.68
"CMCSA";"Comcast Corp.";"Communication Services";44.79;0.2910906;10179549;2.83;0.84
"CME";"CME Group Inc.";"Financials";211.65;-0.80611205;1270272;5.706;2.95
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";890.75;0.026949752;328636;12.38;NA
"CMI";"Cummins Inc.";"Industrials";164.3;1.2759708;853035;14.48;4.902
"CMS";"CMS Energy";"Utilities";67.37;-0.2812238;1148273;2.39;1.53
"CNC";"Centene Corporation";"Health Care";63.71;1.1269827;3537261;3.14;NA
"CNP";"CenterPoint Energy";"Utilities";27.03;0.6329116;1993810;1.261;1.14
"COF";"Capital One Financial";"Financials";102.4;0.44139737;1747265;11.048;1.6
"COG";"Cabot Oil & Gas";"Energy";14.76;0.7508574;4848983;1.908;0.32
"COO";"The Cooper Companies";"Health Care";351.39;0.5724262;247897;9.33;0.06
"COP";"ConocoPhillips";"Energy";58.71;1.4515295;6042179;6.4;1.335
"COST";"Costco Wholesale Corp.";"Consumer Staples";310.68;-0.9911138;2047510;8.429;2.52
"COTY";"Coty, Inc";"Consumer Staples";11.95;-0.1670882;2944581;-3.689;0.5
"CPB";"Campbell Soup";"Consumer Staples";48.73;0.061599135;1195245;0.604;1.4
"CPRI";"Capri Holdings";"Consumer Discretionary";30.31;0.79813695;1731564;2.274;NA
"CPRT";"Copart Inc";"Industrials";102.31;-0.21457253;912371;2.903;NA
"CRM";"Salesforce.com";"Information Technology";189.11;-0.005284744;4244436;0.896;NA
"CSCO";"Cisco Systems";"Information Technology";49.13;0.53202814;23168267;2.513;1.38
"CSX";"CSX Corp.";"Industrials";78.52;-0.45639026;2816522;4.17;0.96
"CTAS";"Cintas Corporation";"Industrials";293.49;0.29731226;223729;8.512;2.55
"CTL";"CenturyLink Inc";"Communication Services";14.93;0.81026256;7055472;-7.388;1.29
"CTSH";"Cognizant Technology Solutions";"Information Technology";69.2;-0.2594412;3035963;3.29;0.8
"CTVA";"Corteva";"Materials";30.51;-0.29411814;3562607;-1.28;0.26
"CTXS";"Citrix Systems";"Information Technology";121.62;-0.16417415;1006311;5.03;1.4
"CVS";"CVS Health";"Health Care";73.85;0.8191106;7817468;3.55;2
"CVX";"Chevron Corp.";"Energy";111.21;1.2933766;5945607;1.54;4.76
"CXO";"Concho Resources";"Energy";78.17;1.1385655;931961;6.355;0.375
"D";"Dominion Energy";"Utilities";85.22;0.7447747;3677656;1.246;3.587
"DAL";"Delta Air Lines Inc.";"Industrials";58.66;1.6461631;4469652;7.3;1.505
"DD";"DuPont de Nemours Inc";"Materials";52.69;1.7574351;5564378;0.667;2.16
"DE";"Deere & Co.";"Industrials";170.26;1.2006592;1299743;10.15;3.04
"DFS";"Discover Financial Services";"Financials";75.75;-0.10550156;1573173;9.08;1.68
"DG";"Dollar General";"Consumer Discretionary";155.95;0.23137774;893454;6.379;1.25
"DGX";"Quest Diagnostics";"Health Care";112.35;0.6540008;834743;6.277;2.12
"DHI";"D. R. Horton";"Consumer Discretionary";61.86;0.55266607;2198699;4.693;0.625
"DHR";"Danaher Corp.";"Health Care";163.68;0.423331;1628146;4.054;0.68
"DIS";"The Walt Disney Company";"Communication Services";141.01;-1.1080735;10181897;5.942;1.76
"DISCA";"Discovery Inc. Class A";"Communication Services";30.205;1.2571237;4557796;2.224;NA
"DISCK";"Discovery Inc. Class C";"Communication Services";28.65;1.0225635;2817793;2.224;NA
"DISH";"Dish Network";"Communication Services";39.48;7.1370454;15537330;2.56;NA
"DLR";"Digital Realty Trust Inc";"Real Estate";125.52;-0.44416654;1756616;1.001;4.25
"DLTR";"Dollar Tree";"Consumer Discretionary";88.19;1.158525;1708171;-6.749;NA
"DOV";"Dover Corp.";"Industrials";118.99;0.65132517;802937;4.61;1.94
"DOW";"Dow Inc.";"Materials";48.79;1.2450764;3588241;-1.84;2.1
"DRE";"Duke Realty Corp";"Real Estate";37.62;0.88495046;1837366;1.178;0.9
"DRI";"Darden Restaurants";"Consumer Discretionary";122.23;0.3612796;1548072;5.038;3.26
"DTE";"DTE Energy Co.";"Utilities";134.02;0.4195995;811850;6.308;3.848
"DUK";"Duke Energy";"Utilities";96.99;0.7897688;2938164;4.831;3.728
"DVA";"DaVita Inc.";"Health Care";88.5;6.9486403;3181489;5.286;NA
"DVN";"Devon Energy";"Energy";22.7;0.7098484;3622883;3.317;0.34
"DXC";"DXC Technology";"Information Technology";31.89;0.91771835;3983227;-6.098;0.84
"EA";"Electronic Arts";"Communication Services";109.04;0.31279114;1161612;9.498;NA
"EBAY";"eBay Inc.";"Consumer Discretionary";36.435;1.1521403;9380297;2.093;0.56
"ECL";"Ecolab Inc.";"Materials";204.62;-0.15614684;888687;5.21;1.84
"ED";"Consolidated Edison";"Utilities";93.18;0.10743282;1101123;4.241;2.935
"EFX";"Equifax Inc.";"Industrials";153.31;-0.91132605;561540;-3.169;1.56
"EIX";"Edison Int'l";"Utilities";78;-0.2557506;1589470;-0.872;2.45
"EL";"Estee Lauder Cos.";"Consumer Staples";209.82;0.54629797;1416141;5.064;1.77
"EMN";"Eastman Chemical";"Materials";74.3;1.5998986;663479;5.48;2.52
"EMR";"Emerson Electric Company";"Industrials";73.83;0.59954005;2663494;3.505;1.97
"EOG";"EOG Resources";"Energy";74.79;1.4789742;2156090;5.15;1.015
"EQIX";"Equinix";"Real Estate";613.57;0.25161806;317495;5.912;9.66
"EQR";"Equity Residential";"Real Estate";84.79;-0.17659704;1207019;2.597;2.27
"ES";"Eversource Energy";"Utilities";91.18;-0.20794839;909884;2.78;2.11
"ESS";"Essex Property Trust, Inc.";"Real Estate";317.83;0.15440544;266432;6.66;7.8
"ETFC";"E*Trade";"Financials";43.92;1.690205;2019613;3.85;0.56
"ETN";"Eaton Corporation";"Industrials";103.53;0.6024634;2464331;5.25;2.84
"ETR";"Entergy Corp.";"Utilities";132.89;0;1026656;4.095;3.64
"EW";"Edwards Lifesciences";"Health Care";231.15;1.1863034;847781;4.93;NA
"EVRG";"Evergy";"Utilities";70.84;0.07062498;1382821;2.517;1.9
"EXC";"Exelon Corp.";"Utilities";49.34;2.132061;6033899;2.372;1.417
"EXPD";"Expeditors";"Industrials";73.16;0.52212816;768730;3.623;0.95
"EXPE";"Expedia Group";"Consumer Discretionary";109.2;0.45073852;2065301;3.34;1.3
